"Car Name","Car Price","Car Mileage","Monthly Payment","Car Location","Phone Number","Car Engine"
"2021 Toyota Corolla LE FWD","$22,888","91,600 km","Est. $379/mo.*","Markham, ON","(289) 217-4871","1.8L I4"
"2017 Chevrolet Cruze LT Sedan FWD","$11,950","150,364 km","Est. $198/mo.*","Edmonton, AB","(587) 410-7185","153 hp 1.4L I4"
"2014 Jaguar XJ-Series XJ AWD","$25,850","74,639 km","Est. $428/mo.*","Richmond Hill, ON","(647) 931-9742","340 hp 3L V6"
"2017 Hyundai Elantra Limited FWD","$13,999","98,485 km","Est. $232/mo.*","Mississauga, ON","(855) 521-1003","147 hp 2L I4"
"2023 Honda Civic Sport FWD","$31,244","6,100 km","Est. $517/mo.*","North York, ON","(844) 645-0753","158 hp 2L I4"
"2013 Chevrolet Malibu 1LT FWD","$7,495","173,773 km","Est. $124/mo.*","Ottawa, ON","(581) 205-8632","197 hp 2.5L I4"
"2022 Mercedes-Benz A-Class A 220 4MATIC Sedan AWD","$41,995","15,687 km","Est. $694/mo.*","Quebec, QC","(587) 803-4614","188 hp 2L I4"
"2014 BMW M5 RWD","$39,985","100,037 km","Est. $661/mo.*","Mississauga, ON","(833) 900-3605","552 hp 4.4L V8"
"2011 Honda Accord SE","$8,500","162,388 km","Est. $141/mo.*","Belleville, ON","(877) 511-5516","177 hp 2.4L I4"
"2017 Buick Regal Sport Touring Sedan FWD","$15,700","128,654 km","Est. $260/mo.*","Calgary, AB","(604) 229-3634","259 hp 2L I4"
"2018 Toyota Camry XSE","$28,900","41,736 km","Est. $478/mo.*","Chilliwack, BC","(647) 492-8256","206 hp 2.5L I4"
"2020 Toyota Camry XSE AWD","$31,990","26,086 km","Est. $529/mo.*","Etobicoke, ON","(855) 262-2990","205 hp 2.5L I4"
"2015 Mitsubishi Lancer Evolution GSR","$34,995","78,502 km","Est. $579/mo.*","Baie-Comeau, QC","(877) 618-2192","291 hp 2L I4"
"2023 Honda Civic Si FWD","$35,288","5,073 km","Est. $584/mo.*","Surrey, BC","No Information Found","200 hp 1.5L I4"
"2019 Mazda MAZDA3 GS Sedan FWD","$21,900","26,480 km","Est. $362/mo.*","Brampton, ON","No Information Found","No Information Found"
"2020 Nissan Maxima SL FWD","$25,998","91,756 km","Est. $430/mo.*","Brantford, ON","(844) 941-1036","300 hp 3.5L V6"
"2021 Mercedes-Benz A-Class A 220 4MATIC Sedan AWD","$33,995","70,409 km","Est. $562/mo.*","Mississauga, ON","(833) 414-1805","188 hp 2L I4"
"2015 Nissan Sentra S","$9,995","159,026 km","Est. $166/mo.*","Edmonton, AB","(587) 416-5844","130 hp 1.8L I4"
"2021 Hyundai Elantra Essential FWD","$21,999","16,073 km","Est. $364/mo.*","Calgary, AB","(306) 403-6538","182 hp 2.5L I4"
"2016 Audi A4 2.0T quattro Progressiv Plus AWD","$18,995","141,000 km","Est. $314/mo.*","Regina, SK","(833) 928-1295","272 hp 2L I4"
"2015 Nissan Altima","$3,995","216,000 km","Est. $67/mo.*","Vaudreuil-Dorion, QC","(431) 813-7870","263 hp 3.6L V6"
"2021 Acura TLX SH-AWD with Technology Package","$35,500","53,445 km","Est. $587/mo.*","Toronto, ON","(833) 928-1295","272 hp 2L I4"
"2023 Kia Forte GT Limited FWD","$29,900","6,085 km","Est. $495/mo.*","Victoria, BC","(855) 595-0906","404 hp 3L V6"
"2008 Cadillac CTS","$5,495","175,000 km","Est. $91/mo.*","Vaudreuil-Dorion, QC","(289) 216-4705","255 hp 2L I4"
"2018 Cadillac ATS 2.0T Luxury RWD","$24,999","37,191 km","Est. $414/mo.*","Medicine Hat, AB","(604) 670-5292","Electric"
"2017 Maserati Ghibli S Q4 3.0L AWD","$39,995","18,705 km","Est. $661/mo.*","Etobicoke, ON","(833) 692-4586","160 hp 1.5L I4"
"2023 BMW 3 Series 330i xDrive AWD","$50,945","5,089 km","Est. $842/mo.*","Vancouver, BC","(844) 901-4029","No Information Found"
"2023 Tesla Model 3 Long Range AWD","$55,000","15,851 km","Est. $909/mo.*","North York, ON","No Information Found","No Information Found"
"2019 Chevrolet Malibu LT FWD","$19,995","44,053 km","Est. $331/mo.*","Ottawa, ON","No Information Found","No Information Found"
"2022 Audi A4 quattro Technik 45 TFSI AWD","$48,407","13,900 km","Est. $800/mo.*","Edmonton, AB","No Information Found","No Information Found"
"2008 INFINITI G35 Sedan RWD","$6,199","217,871 km","Est. $103/mo.*","Hamilton, ON","(833) 672-1315","306 hp 3.5L V6"
"2011 Dodge Avenger Heat FWD","$5,888","195,000 km","Est. $98/mo.*","Guelph, ON","(778) 743-0153","283 hp 3.6L V6 Flex Fuel Vehicle"
"2016 Acura TLX V6 SH-AWD with Technology Package","$18,995","96,723 km","Est. $314/mo.*","New Westminster, BC","(833) 460-1890","290 hp 3.5L V6"
"2018 Lincoln MKZ Select AWD","$23,900","81,828 km","Est. $395/mo.*","Toronto, ON","(437) 372-5743","245 hp 2L I4"
"2021 Toyota Corolla LE FWD","$26,900","24,549 km","Est. $445/mo.*","Mississauga, ON","(587) 806-3690","1.8L I4"
"2022 Audi RS e-tron GT quattro AWD","$126,305","11,098 km","Est. $2,088/mo.*","Edmonton, AB","(855) 785-2518","Electric"
"2016 Toyota Corolla S","$16,500","124,239 km","Est. $273/mo.*","Edmonton, AB","(844) 674-0976","132 hp 1.8L I4"
"2017 Hyundai Elantra","$16,800","56,986 km","Est. $278/mo.*","Kitchener, ON","(450) 390-6951","147 hp 2L I4"
"2016 Audi S3 2.0T quattro Technik AWD","$25,999","96,000 km","Est. $430/mo.*","Dollard-des Ormeaux, QC","(604) 239-1356","153 hp 1.4L I4"
"2018 Hyundai Elantra GL FWD","$16,495","43,852 km","Est. $273/mo.*","Temiskaming Shores, ON","(877) 375-5594","505 hp 2.9L V6"
"2016 Chevrolet Cruze Premier Sedan FWD","$14,500","79,000 km","Est. $240/mo.*","New Westminster, BC","(844) 383-0973","368 hp 3.3L V6"
"2018 Alfa Romeo Giulia Quadrifoglio RWD","$64,300","15,735 km","Est. $1,063/mo.*","Victoria, BC","(855) 916-4741","No Information Found"
"2016 Mazda MAZDA3 GS","$12,999","125,631 km","Est. $215/mo.*","Maple, ON","No Information Found","No Information Found"
"2019 Audi S5 Sportback 3.0 TFSI quattro Technik AWD","$47,995","20,526 km","Est. $794/mo.*","Richmond, BC","No Information Found","No Information Found"
"2023 Kia Stinger GT2 AWD","$59,979","5,600 km","Est. $992/mo.*","Oakville, ON","No Information Found","No Information Found"
"2023 Volkswagen Jetta GLI 1.5T Autobahn FWD","$37,375","944 km","Est. $618/mo.*","Saint-Bruno, QC","(450) 367-6265","228 hp 2L I4"
"2013 Audi A4 2.0T quattro Premium AWD","$8,999","170,125 km","Est. $149/mo.*","Sudbury, ON","(672) 202-2188","147 hp 2L I4"
"2015 Volkswagen Jetta 2.0 Trendline","$11,998","109,888 km","Est. $199/mo.*","Mississauga, ON","(902) 601-1009","252 hp 2L I4"
"2021 Volkswagen Jetta Comfortline FWD","$22,995","66,000 km","Est. $381/mo.*","Summerside, PE","(902) 918-5532","420 hp 3L V6"
"2019 Mazda MAZDA3 GT Sedan AWD","$21,990","84,028 km","Est. $364/mo.*","Bedford, NS","(866) 691-4336","255 hp 2L I4"
"2020 Volkswagen Jetta Highline FWD","$19,980","158,826 km","Est. $331/mo.*","Toronto, ON","(604) 332-1842","2L I4 Hybrid"
"2023 Volkswagen Jetta 1.5T Comfortline FWD","$30,898","14,436 km","Est. $511/mo.*","Vancouver, BC","(833) 260-9650","255 hp 2L I4"
"2021 Kia Forte EX FWD","$21,248","89,101 km","Est. $352/mo.*","Chatham-Kent, ON","(705) 996-4489","132 hp 1.8L I4"
"2020 Honda Accord 2.0T Touring FWD","$33,999","36,949 km","Est. $562/mo.*","Huntsville, ON","(844) 407-1807","No Information Found"
"2015 Porsche Panamera 4S","$47,995","54,654 km","Est. $794/mo.*","Oakville, ON","(306) 900-4165","No Information Found"
"2022 Mercedes-Benz E-Class E 350 4MATIC Sedan AWD","$66,589","1,720 km","Est. $1,101/mo.*","Regina, SK","(587) 872-0648","No Information Found"
"2018 Ford Fusion Hybrid SE FWD","$19,999","113,380 km","Est. $331/mo.*","Innisfail, AB","(306) 900-4165","No Information Found"
"2019 Volkswagen Jetta GLI FWD","$29,995","37,538 km","Est. $496/mo.*","Calgary, AB","No Information Found","No Information Found"
"2023 Mercedes-Benz E-Class E 350 4MATIC Sedan AWD","$76,990","4,407 km","Est. $1,273/mo.*","Regina, SK","No Information Found","No Information Found"
"2017 Toyota Corolla LE","$16,995","59,864 km","Est. $281/mo.*","Temiskaming Shores, ON","No Information Found","No Information Found"
"2023 Kia Stinger GT2 AWD","$59,979","5,600 km","Est. $992/mo.*","Oakville, ON","(855) 916-4741","368 hp 3.3L V6"
"2016 Mazda MAZDA3 GS","$13,800","131,000 km","Est. $229/mo.*","Langley City, BC","(778) 743-2886","179 hp 2.5L I4"
"2018 Hyundai Elantra LE FWD","$10,000","222,752 km","Est. $166/mo.*","Airdrie, AB","(587) 605-7527","310 hp 3.6L V6"
"2018 Nissan Altima 2.5 SV","$16,999","73,807 km","Est. $281/mo.*","Winnipeg, MB","(647) 697-6359","268 hp 3.5L V6"
"2018 Buick Regal Sportback GS AWD","$25,990","127,000 km","Est. $430/mo.*","Toronto, ON","(819) 809-5896","201 hp 1.6L I4"
"2016 Toyota Avalon XLE Touring","$24,994","64,969 km","Est. $414/mo.*","Trois-Rivières, QC","(604) 330-8740","2.5L I4 Hybrid"
"2020 Audi A4 2.0 TFSI quattro Progressiv AWD","$36,164","39,368 km","Est. $598/mo.*","Halifax, NS","(587) 602-2886","463 hp 4L V8"
"2022 Mazda MAZDA3 GS Sedan FWD","$27,990","9,746 km","Est. $463/mo.*","Richmond, BC","(778) 902-2534","248 hp 2L I4"
"2018 Hyundai Elantra Sport FWD","$17,988","106,794 km","Est. $298/mo.*","Calgary, AB","(855) 458-1232","429 hp 3L I6"
"2021 Toyota Camry Hybrid LE FWD","$34,888","44,537 km","Est. $577/mo.*","Mission, BC","(866) 260-3829","255 hp 2L I4"
"2019 Mercedes-Benz S-Class S 560 4MATIC AWD","$69,997","59,937 km","Est. $1,157/mo.*","Montréal, QC","(604) 330-9257","189 hp 2.4L I4"
"2019 BMW 4 Series 430i xDrive Gran Coupe AWD","$29,900","68,630 km","Est. $495/mo.*","Mississauga, ON","(236) 326-9471","No Information Found"
"2019 Mercedes-Benz CLS-Class CLS AMG 53 S 4MATIC AWD","$63,695","38,000 km","Est. $1,053/mo.*","Richmond, BC","(778) 654-1385","No Information Found"
"2019 Mercedes-Benz C-Class C 300 4MATIC AWD","$32,880","63,000 km","Est. $544/mo.*","Toronto, ON","No Information Found","No Information Found"
"2017 Honda Accord Sport FWD","$18,999","123,915 km","Est. $314/mo.*","Kelowna, BC","No Information Found","No Information Found"
"2018 Chevrolet Malibu LT FWD","$12,995","198,525 km","Est. $215/mo.*","Sarnia, ON","(226) 778-4079","160 hp 1.5L I4"
"2016 Kia Rio LX Plus","$11,500","79,237 km","Est. $191/mo.*","Toronto, ON","(833) 928-1295","211 hp 3.5L V6 Flex Fuel Vehicle"
"2010 Chevrolet Impala LT FWD","$5,995","162,121 km","Est. $100/mo.*","Vaudreuil-Dorion, QC","(833) 681-4388","1.8L I4"
"2021 Toyota Corolla LE FWD","$21,888","117,078 km","Est. $362/mo.*","Concord, ON","(306) 403-6538","255 hp 3L I6 Diesel"
"2016 BMW 5 Series 535d xDrive Sedan AWD","$27,995","111,000 km","Est. $463/mo.*","Regina, SK","(844) 423-1413","201 hp 2.5L V6 Flex Fuel Vehicle"
"2020 Volkswagen Passat 2.0T Comfortline FWD","$22,990","82,316 km","Est. $380/mo.*","Mississauga, ON","(844) 403-3903","2L I4 Hybrid"
"2007 Mercedes-Benz C-Class C 230 Sport","$7,000","103,401 km","Est. $116/mo.*","Thorold, ON","(604) 337-2509","300 hp 3.6L V6"
"2018 Ford Fusion Energi Titanium","$21,488","99,631 km","Est. $356/mo.*","Mississauga, ON","(604) 227-0369","255 hp 2L I4"
"2021 Dodge Charger GT RWD","$33,799","37,428 km","Est. $559/mo.*","Surrey, BC","(844) 745-0307","250 hp 2.5L I4"
"2020 BMW 3 Series 330i xDrive Sedan AWD","$41,499","17,500 km","Est. $686/mo.*","Burnaby, BC","(647) 560-1667","180 hp 1.6L I4"
"2021 Mazda MAZDA3 2.5 Turbo Sedan AWD","$30,997","53,024 km","Est. $513/mo.*","Edmonton, AB","(855) 703-1741","153 hp 1.4L I4"
"2012 Buick Regal Sedan FWD","$11,480","69,000 km","Est. $190/mo.*","Toronto, ON","(581) 333-6657","182 hp 2.5L I4"
"2021 Kia K5 EX FWD","$29,995","60,007 km","Est. $496/mo.*","Lethbridge, AB","(833) 973-1610","No Information Found"
"2018 Chevrolet Cruze LT Sedan FWD","$16,888","78,945 km","Est. $280/mo.*","Calgary, AB","No Information Found","No Information Found"
"2021 Nissan Altima 2.5 SR AWD","$24,995","69,915 km","Est. $414/mo.*","Toronto, ON","No Information Found","No Information Found"
"2020 BMW 7 Series 750i xDrive AWD","$76,990","13,424 km","Est. $1,273/mo.*","Victoria, BC","(833) 935-2983","523 hp 4.4L V8"
"2016 Nissan Altima 2.5 SV","$11,999","185,190 km","Est. $199/mo.*","Calgary, AB","(587) 815-0491","182 hp 2.5L I4"
"2023 Genesis G90 3.5T AWD","$94,998","473 km","Est. $1,570/mo.*","Winnipeg, MB","(450) 823-0961","375 hp 3.5L V6"
"2018 Chevrolet Cruze LT Diesel Sedan FWD","$15,995","79,000 km","Est. $265/mo.*","Saint-Jean-sur-Richelieu, QC","(647) 952-5876","137 hp 1.6L I4 Diesel"
"2018 Kia Forte EX Luxury","$13,699","94,059 km","Est. $227/mo.*","Pickering, ON","(888) 991-4674","288 hp 3.5L V6"
"2019 Ford Taurus Limited AWD","$24,999","59,142 km","Est. $414/mo.*","Pickering, ON","(844) 418-1062","147 hp 2L I4"
"2018 Hyundai Elantra","$13,995","139,602 km","Est. $232/mo.*","London, ON","(778) 654-1385","1.8L I4"
"2013 Hyundai Elantra GLS FWD","$7,495","188,750 km","Est. $124/mo.*","Kelowna, BC","(587) 602-2886","201 hp 1.6L I4"
"2018 Hyundai Elantra Sport FWD","$18,488","132,969 km","Est. $306/mo.*","Calgary, AB","(855) 753-0823","192 hp 1.5L I4"
"2018 Honda Accord 1.5T Touring FWD","$24,999","99,000 km","Est. $414/mo.*","York, ON","(250) 900-3194","208 hp 2L I4"
"2018 Mercedes-Benz CLA-Class CLA 250 4MATIC","$28,888","25,209 km","Est. $478/mo.*","Victoria, BC","(647) 696-5096","160 hp 1.5L I4"
"2023 Chevrolet Malibu LS FWD","$29,995","4,030 km","Est. $496/mo.*","Kamloops, BC","(844) 960-4294","1.8L I4"
"2014 Volkswagen Jetta SE with Connectivity and Sunroof","$10,998","141,000 km","Est. $182/mo.*","Vaughan, ON","No Information Found","No Information Found"
"2019 Volkswagen Jetta Execline FWD","$24,801","38,250 km","Est. $410/mo.*","Burnaby, BC","No Information Found","No Information Found"
"2021 Toyota Corolla LE FWD","$23,998","13,080 km","Est. $397/mo.*","Toronto, ON","No Information Found","No Information Found"
"2021 Porsche Taycan 4S AWD","$116,990","34,144 km","Est. $1,934/mo.*","Schomberg, ON","(289) 809-7046","Electric"
"2022 Toyota Corolla SE FWD","$26,888","18,371 km","Est. $445/mo.*","Kingston, ON","(855) 496-0874","2L I4"
"2021 Honda Accord SE FWD","$32,235","95,114 km","Est. $533/mo.*","Calgary, AB","(902) 918-5532","329 hp 3L V6"
"2015 Mercedes-Benz C-Class C 400 4MATIC","$26,907","107,477 km","Est. $445/mo.*","St Albert, AB","(647) 492-8256","174 hp 1.5L I4"
"2019 Honda Civic Touring FWD","$21,990","116,801 km","Est. $364/mo.*","Bedford, NS","(604) 332-0217","201 hp 2.4L I4"
"2019 Acura ILX FWD with Premium and A-Spec Package","$25,990","33,329 km","Est. $430/mo.*","Etobicoke, ON","(226) 271-6015","155 hp 2L I4"
"2017 Mazda MAZDA3 Sport","$13,990","63,000 km","Est. $232/mo.*","New Westminster, BC","(647) 560-3943","270 hp 3L V6"
"2013 Cadillac CTS 3.0L Luxury RWD","$6,995","231,500 km","Est. $116/mo.*","London, ON","(647) 363-6940","192 hp 1.5L I4"
"2018 Honda Accord 1.5T Touring FWD","$24,988","105,361 km","Est. $413/mo.*","Woodbridge, ON","(204) 813-7847","174 hp 1.5L I4"
"2019 Honda Civic EX FWD","$21,999","77,000 km","Est. $364/mo.*","Oakville, ON","(236) 326-9471","457 hp 2.9L V6 Hybrid"
"2018 Chevrolet Impala LT FWD","$22,888","64,374 km","Est. $379/mo.*","Winnipeg, MB","(855) 791-0594","No Information Found"
"2020 Genesis G70 3.3T Sport AWD","$33,880","53,000 km","Est. $560/mo.*","Toronto, ON","(613) 707-7604","No Information Found"
"2018 Porsche Panamera E-Hybrid 4 AWD","$83,480","52,000 km","Est. $1,380/mo.*","Edmonton, AB","No Information Found","No Information Found"
"2016 Audi S3 2.0T quattro Technik AWD","$24,992","80,679 km","Est. $414/mo.*","Ottawa, ON","No Information Found","No Information Found"
"2023 Hyundai Elantra Preferred FWD","$31,555","9,837 km","Est. $522/mo.*","Wilkie, SK","No Information Found","No Information Found"
"2022 Toyota Corolla LE FWD","$26,496","48,800 km","Est. $438/mo.*","Courtenay, BC","(855) 939-1150","1.8L I4"
"2018 Mercedes-Benz C-Class C 300 Sedan 4MATIC","$30,499","64,259 km","Est. $505/mo.*","Edmonton, AB","(855) 936-0967","241 hp 2L I4"
"2016 Subaru Legacy 3.6R Limited AWD","$15,995","142,000 km","Est. $265/mo.*","Toronto, ON","(855) 908-6549","256 hp 3.6L H6"
"2019 Genesis G70 3.3T Sport AWD","$27,777","120,000 km","Est. $460/mo.*","York, ON","(647) 492-5487","3.3L V6"
"2015 Chevrolet Cruze 2LT Sedan FWD","$11,995","109,427 km","Est. $199/mo.*","Victoria, BC","(833) 382-0947","138 hp 1.4L I4"
"2016 Subaru WRX AWD","$17,510","99,228 km","Est. $290/mo.*","Brampton, ON","(548) 900-5850","268 hp 2L H4"
"2015 INFINITI Q50 3.7 AWD","$17,495","130,703 km","Est. $290/mo.*","Waterloo, ON","(604) 670-8530","328 hp 3.7L V6"
"2013 Acura TL SH-AWD with Technology Package","$11,488","156,790 km","Est. $190/mo.*","St-leonard, QC","(902) 918-5532","305 hp 3.7L V6"
"2020 Hyundai Elantra Essential FWD","$20,888","60,128 km","Est. $346/mo.*","Vancouver, BC","(844) 541-1477","268 hp 2L H4"
"2021 Subaru WRX AWD","$28,990","34,562 km","Est. $480/mo.*","Bedford, NS","(705) 999-8455","445 hp 4.4L V8"
"2014 Mazda MAZDA3 GS Sedan","$9,499","204,698 km","Est. $157/mo.*","Whitby, ON","(855) 951-3327","202 hp 2.5L I4"
"2013 BMW 7 Series 750Li xDrive AWD","$17,495","158,690 km","Est. $290/mo.*","Barrie, ON","No Information Found","503 hp 3L I6"
